country_name,country_3_letter_code,year,medal_count,gold_count,silver_count,bronze_count,game_location,game_season,GDP,population,region,area_sqkm,coastline_coast_area_ratio,GDP_per_capita,host_country_status
Austria,AUT,1992,21,6,7,8,France,Winter,195078126722.0,7840709.0,WESTERN EUROPE                     ,83870,0.0,24880.164118066365,0
Canada,CAN,1992,7,2,3,2,France,Winter,594376087449.0,28371264.0,NORTHERN AMERICA                   ,9984670,2.02,20949.933265186915,0
Czechia,TCH,1992,3,0,0,3,France,Winter,34805013230.0,10319123.0,EASTERN EUROPE                     ,78866,0.0,3372.865429552492,0
Finland,FIN,1992,7,3,1,3,France,Winter,112532519246.0,5041992.0,WESTERN EUROPE                     ,338145,0.37,22319.05946022921,0
France,FRA,1992,9,3,5,1,France,Winter,1401465923172.0,58849943.0,WESTERN EUROPE                     ,547030,0.63,23814.2273675949,1
Germany,GER,1992,26,10,10,6,France,Winter,2131571696932.0,80624598.0,WESTERN EUROPE                     ,357021,0.67,26438.230388844855,0
Italy,ITA,1992,14,4,6,4,France,Winter,1320161644933.0,56797087.0,WESTERN EUROPE                     ,301230,2.52,23243.474527716535,0
Japan,JPN,1992,7,1,2,4,France,Winter,3908808434705.0,124425000.0,ASIA (EX. NEAR EAST)         ,377835,7.87,31414.97636893711,0
Luxembourg,LUX,1992,2,0,2,0,France,Winter,15518702635.0,392175.0,WESTERN EUROPE                     ,2586,0.0,39570.86156690253,0
Netherlands,NED,1992,4,1,1,2,France,Winter,362962872180.0,15184166.0,WESTERN EUROPE                     ,41526,1.09,23904.03741502826,0
New Zealand,NZL,1992,1,0,1,0,France,Winter,41649386970.0,3531700.0,OCEANIA                            ,268680,5.63,11793.01383752867,0
Norway,NOR,1992,20,9,6,5,France,Winter,130838022523.0,4286401.0,WESTERN EUROPE                     ,323802,7.77,30523.98096281706,0
China,CHN,1992,3,0,3,0,France,Winter,426915712716.0,1164970000.0,ASIA (EX. NEAR EAST)         ,9596960,0.15,366.46069230623965,0
"Korea, Rep.",KOR,1992,4,2,1,1,France,Winter,355525267405.0,43747962.0,ASIA (EX. NEAR EAST)         ,98480,2.45,8126.670389925821,0
Spain,ESP,1992,1,0,0,1,France,Winter,630916018203.0,39157685.0,WESTERN EUROPE                     ,504782,0.98,16112.188915228262,0
Sweden,SWE,1992,4,1,0,3,France,Winter,284319488252.0,8668067.0,WESTERN EUROPE                     ,449964,0.72,32800.79494678571,0
Switzerland,SUI,1992,3,1,0,2,France,Winter,279917776400.0,6875364.0,WESTERN EUROPE                     ,41290,0.0,40713.15735428699,0
Russian Federation,EUN,1992,23,9,6,8,France,Winter,460290556901.0,148538197.0,C.W. OF IND. STATES ,17075200,0.22,3098.802639303613,0
United States,USA,1992,11,5,4,2,France,Winter,6520327000000.0,256514000.0,NORTHERN AMERICA                   ,9631420,0.21,25418.990776331895,0
Argentina,ARG,2004,6,2,0,4,Greece,Summer,164657930453.0,38668796.0,LATIN AMER. & CARIB    ,2766890,0.18,4258.160260614269,0
Australia,AUS,2004,50,17,16,17,Greece,Summer,614326362214.0,19932722.0,OCEANIA                            ,7686850,0.34,30819.993486790212,0
Austria,AUT,2004,7,2,4,1,Greece,Summer,301457562039.0,8171966.0,WESTERN EUROPE                     ,83870,0.0,36889.23351357556,0
Azerbaijan,AZE,2004,5,1,0,4,Greece,Summer,8680410158.0,8306500.0,C.W. OF IND. STATES ,86600,0.0,1045.0141645699152,0
"Bahamas, The",BAH,2004,2,1,0,1,Greece,Summer,9055290000.0,343089.0,LATIN AMER. & CARIB    ,13940,25.41,26393.413953813735,0
Belarus,BLR,2004,13,2,5,6,Greece,Summer,23141593074.0,9730146.0,C.W. OF IND. STATES ,207600,0.0,2378.339757080726,0
Belgium,BEL,2004,3,1,0,2,Greece,Summer,369214712443.0,10421137.0,WESTERN EUROPE                     ,30528,0.22,35429.407793314684,0
Brazil,BRA,2004,10,5,2,3,Greece,Summer,669289321954.0,184722043.0,LATIN AMER. & CARIB    ,8511965,0.09,3623.22390486987,0
Bulgaria,BUL,2004,12,2,1,9,Greece,Summer,26157744753.0,7716860.0,EASTERN EUROPE                     ,110910,0.32,3389.687612966932,0
Cameroon,CMR,2004,1,1,0,0,Greece,Summer,18826214125.0,16809407.0,SUB-SAHARAN AFRICA                 ,475440,0.08,1119.9808610143118,0
Canada,CAN,2004,12,3,6,3,Greece,Summer,1026690238278.0,31940655.0,NORTHERN AMERICA                   ,9984670,2.02,32143.6814078484,0
